blockNumber,sampleUnixTime,phase,phaseTick,globalTick,startBlock,targetBlock,normalSubmittedThisTick,attackSubmittedThisTick,attackActiveSendersThisTick,normalSubmittedTotal,attackSubmittedTotal,normalAcceptedTotal,attackAcceptedTotal,normalErroredTotal,attackErroredTotal,normalIncludedInObservedBlocks,attackIncludedInObservedBlocks,normalIncludedTotal,attackIncludedTotal,normalBacklog,attackBacklog,txpoolPendingAfterSend,txpoolQueuedAfterSend,txpoolPendingAfterBlock,txpoolQueuedAfterBlock,normalPending,normalQueued,normalDropped,attackPending,attackQueued,attackDropped,txpoolClassificationError
9,1788901005,warmup,1,1,8,9,800,0,0,800,0,800,0,0,0,582,0,582,0,218,0,800,0,218,0,,,,,,,
10,1788901037,warmup,2,2,9,10,800,0,0,1600,0,1600,0,0,0,582,0,1164,0,436,0,1018,0,436,0,,,,,,,
11,1788901063,saturation,1,3,10,11,800,0,0,2400,0,2400,0,0,0,582,0,1746,0,654,0,1236,0,654,0,,,,,,,
12,1788901094,saturation,2,4,11,12,800,0,0,3200,0,3200,0,0,0,582,0,2328,0,872,0,1454,0,872,0,,,,,,,
13,1788901123,saturation,3,5,12,13,800,0,0,4000,0,4000,0,0,0,582,0,2910,0,1090,0,1672,0,1090,0,,,,,,,
14,1788901154,saturation,4,6,13,14,800,0,0,4800,0,4800,0,0,0,582,0,3492,0,1308,0,1890,0,1308,0,,,,,,,
15,1788901186,control,1,7,14,15,800,0,0,5600,0,5600,0,0,0,582,0,4074,0,1526,0,2108,0,1526,0,,,,,,,
16,1788901213,control,2,8,15,16,800,0,0,6400,0,6400,0,0,0,582,0,4656,0,1744,0,2326,0,1744,0,,,,,,,
17,1788901244,control,3,9,16,17,800,0,0,7200,0,7200,0,0,0,582,0,5238,0,1962,0,2544,0,1962,0,,,,,,,
18,1788901274,control,4,10,17,18,800,0,0,8000,0,8000,0,0,0,582,0,5820,0,2180,0,2762,0,2180,0,,,,,,,
19,1788901303,recovery,1,11,18,19,800,0,0,8800,0,8800,0,0,0,582,0,6402,0,2398,0,2980,0,2398,0,,,,,,,
20,1788901335,recovery,2,12,19,20,800,0,0,9600,0,9600,0,0,0,582,0,6984,0,2616,0,3198,0,2616,0,,,,,,,
21,1788901364,recovery,3,13,20,21,800,0,0,10400,0,10400,0,0,0,582,0,7566,0,2834,0,3416,0,2834,0,,,,,,,
22,1788901393,recovery,4,14,21,22,800,0,0,11200,0,11200,0,0,0,582,0,8148,0,3052,0,3634,0,3052,0,,,,,,,
23,1788901425,drain,1,15,22,23,0,0,0,11200,0,11200,0,0,0,582,0,8730,0,2470,0,3052,0,2470,0,,,,,,,
24,1788901453,drain,2,16,23,24,0,0,0,11200,0,11200,0,0,0,582,0,9312,0,1888,0,2470,0,1888,0,,,,,,,
25,1788901483,drain,3,17,24,25,0,0,0,11200,0,11200,0,0,0,582,0,9894,0,1306,0,1888,0,1306,0,,,,,,,
26,1788901516,drain,4,18,25,26,0,0,0,11200,0,11200,0,0,0,582,0,10476,0,724,0,1306,0,724,0,,,,,,,
27,1788901543,drain,5,19,26,27,0,0,0,11200,0,11200,0,0,0,276,0,10752,0,448,0,724,0,448,0,,,,,,,
28,1788901571,drain,6,20,27,28,0,0,0,11200,0,11200,0,0,0,0,0,10752,0,448,0,448,0,448,0,,,,,,,
29,1788901602,drain,7,21,28,29,0,0,0,11200,0,11200,0,0,0,0,0,10752,0,448,0,448,0,448,0,,,,,,,
30,1788901633,drain,8,22,29,30,0,0,0,11200,0,11200,0,0,0,448,0,11200,0,0,0,448,0,0,0,,,,,,,
31,1788901662,drain,9,23,30,31,0,0,0,11200,0,11200,0,0,0,0,0,11200,0,0,0,0,0,0,0,,,,,,,
32,1788901691,drain,10,24,31,32,0,0,0,11200,0,11200,0,0,0,0,0,11200,0,0,0,0,0,0,0,,,,,,,
