blockNumber,baseFeeWei,baseFeeGwei,gasUsedRatio,rewardP10Wei,rewardP10Gwei,effectiveP10Wei,effectiveP10Gwei,rewardP25Wei,rewardP25Gwei,effectiveP25Wei,effectiveP25Gwei,rewardP50Wei,rewardP50Gwei,effectiveP50Wei,effectiveP50Gwei,rewardP75Wei,rewardP75Gwei,effectiveP75Wei,effectiveP75Gwei,rewardP90Wei,rewardP90Gwei,effectiveP90Wei,effectiveP90Gwei
25919672,113395390,0.11339539,0.47226541666666666,133333,0.000133333,113528723,0.113528723,159827,0.000159827,113555217,0.113555217,45852242,0.045852242,159247632,0.159247632,270163004,0.270163004,383558394,0.383558394,1500000000,1.5,1613395390,1.61339539
25919673,112609147,0.112609147,0.37284223333333333,100000,0.0001,112709147,0.112709147,133333,0.000133333,112742480,0.11274248,55022690,0.05502269,167631837,0.167631837,442705733,0.442705733,555314880,0.55531488,1500000000,1.5,1612609147,1.612609147
25919674,109029366,0.109029366,0.18988408333333334,200000,0.0002,109229366,0.109229366,40649479,0.040649479,149678845,0.149678845,443487692,0.443487692,552517058,0.552517058,1000000000,1.0,1109029366,1.109029366,2000000000,2.0,2109029366,2.109029366
25919675,100576431,0.100576431,0.7182163166666666,133333,0.000133333,100709764,0.100709764,159827,0.000159827,100736258,0.100736258,15668732,0.015668732,116245163,0.116245163,174733211,0.174733211,275309642,0.275309642,1911000000,1.911,2011576431,2.011576431
25919676,106063285,0.106063285,0.11737318333333334,10204309,0.010204309,116267594,0.116267594,96798239,0.096798239,202861524,0.202861524,200000000,0.2,306063285,0.306063285,600000000,0.6,706063285,0.706063285,2000000000,2.0,2106063285,2.106063285
25919677,95917621,0.095917621,0.8070778333333334,133333,0.000133333,96050954,0.096050954,159827,0.000159827,96077448,0.096077448,49587723,0.049587723,145505344,0.145505344,200000000,0.2,295917621,0.295917621,1338082379,1.338082379,1434000000,1.434
25919678,103281164,0.103281164,0.5687845833333334,100000,0.0001,103381164,0.103381164,150000,0.00015,103431164,0.103431164,50000000,0.05,153281164,0.153281164,200000000,0.2,303281164,0.303281164,1661968699,1.661968699,1765249863,1.765249863
25919679,105057201,0.105057201,0.3840296833333333,100000,0.0001,105157201,0.105157201,159827,0.000159827,105217028,0.105217028,86778041,0.086778041,191835242,0.191835242,310524959,0.310524959,415582160,0.41558216,2000000000,2.0,2105057201,2.105057201
25919680,102011322,0.102011322,0.51454695,133333,0.000133333,102144655,0.102144655,159827,0.000159827,102171149,0.102171149,150000000,0.15,252011322,0.252011322,280405116,0.280405116,382416438,0.382416438,1911000000,1.911,2013011322,2.013011322
25919681,102382310,0.10238231,0.6722193946461852,100000,0.0001,102482310,0.10248231,100000,0.0001,102482310,0.10248231,150000,0.00015,102532310,0.10253231,200000000,0.2,302382310,0.30238231,1000000000,1.0,1102382310,1.10238231
